Part;;Value;Device;Package;Library;Sheet

BTN2;;PANASONIC_EVQPT5A15;PANASONIC_EVQPT5A15;PANASONIC_EVQPT5A15;Nordic_misc;1
C1;;10pF;CAPACITOR_0402_N;RESC0402_N;Nordic_misc;1
C2;;10pF;CAPACITOR_0402_N;RESC0402_N;Nordic_misc;1
C3;;0.8pF;CAPACITOR_0402_N;RESC0402_N;Nordic_misc;1
C4;;100nF;CAPACITOR_0402_N;RESC0402_N;Nordic_misc;1
C5;;100nF;CAPACITOR_0402_N;RESC0402_N;Nordic_misc;1
C6;;4.7?F;CAPACITOR_0603_N;RESC0603_N;Nordic_misc;1
C7;;100nF;CAPACITOR_0402_N;RESC0402_N;Nordic_misc;1
C8;;100nF;CAPACITOR_0402_N;RESC0402_N;Nordic_misc;1
C9;;4.7?F;CAPACITOR_0603_N;RESC0603_N;Nordic_misc;1
C10;;1.0?F;CAPACITOR_0603_N;RESC0603_N;Nordic_misc;1
C11;;12pF;CAPACITOR_0402_N;RESC0402_N;Nordic_misc;1
C12;;12pF;CAPACITOR_0402_N;RESC0402_N;Nordic_misc;1
C13;;100nF;CAPACITOR_0402_N;RESC0402_N;Nordic_misc;1
C16;;100nF;CAPACITOR_0402_N;RESC0402_N;Nordic_misc;2
C17;;10?F;CAPACITOR_0603_N;RESC0603_N;Nordic_misc;2
C18;;10?F;CAPACITOR_0603_N;RESC0603_N;Nordic_misc;2
C19;;100?F;CAPACITOR_0805_N;RESC0805_N;Nordic_misc;2
D1;;LED_BLUE;LED;DIOC0603_N;Nordic_misc;1
D3;;LED_CHARGE;LED;DIOC0603_N;Nordic_misc;2
D4;;LED_GREEN;LED;DIOC0603_N;Nordic_misc;1
L1;;3.9nH;INDUCTOR_0402_N;RESC0402_N;Nordic_misc;1
L2;;10?H;INDUCTOR_0603_N;RESC0603_N;Nordic_misc;1
L3;;15nH;INDUCTOR_0402_N;RESC0402_N;Nordic_misc;1
R1;;3K;RESISTOR_0402_N;RESC0402_N;Nordic_misc;2
R2;;1k;RESISTOR_0402_N;RESC0402_N;Nordic_misc;1
R3;;1k;RESISTOR_0402_N;RESC0402_N;Nordic_misc;1
R4;;100k;RESISTOR_0402_N;RESC0402_N;Nordic_misc;1
R6;;100k;RESISTOR_0402_N;RESC0402_N;Nordic_misc;1
R8;;330R;RESISTOR_0402_N;RESC0402_N;Nordic_misc;1
R11;;1k;RESISTOR_0402_N;RESC0402_N;Nordic_misc;2
TP1;;TPSQTP08R;TPSQTP08R;TP08R;testpad;1
TP2;;TPSQTP08R;TPSQTP08R;TP08R;testpad;1
U$2;;SST26VF064B-104I/SM;SST26VF;SOIJ8;sst26;1
U$3;;LIS3DH;ACCEL_LIS3DHTR;LGA16_3X3MM;microbuilder;1
U$4;;MICRO-USB-RECEPTACLE_MY;MICRO-USB-RECEPTACLE_MY;47589-0001_MY;con-molex-usb_m;2
U1;;NRF52832;NRF52832;QFN40P600X600X90-48_N;Nordic_nRF;1
U2;;MCP73832T-2ACI/OT-SOT23;-5 PMIC-MCP73832T-2ACI/OT(SOT23-5);SOT-23-5;Seeed-OPL-ic;2
U4;;MIC5225-3.3;VREG_SOT23-5;SOT23-5;microbuilder;2
X1;;FA-128;FA-128;FA-128;crystals;1
X2;;32.768kHz;XTAL_32KHZ;XTAL_3215_N;Nordic_nRF;1
